  ra              dec             W(C18O)       AV               AV_sig          AV_n   N(C18O)           N(H2)              X(C18O)              W(N2H)         
  64.1522517595   28.4551111111   -0.0627672    2.48172638807    1.47838383493   17.0   -6.222740208E13   2.33282280478E21   -2.66747229804E-8    -0.0783105     
  64.1522517595   28.4655277778   0.10135       2.40796124984    1.48529360732   15.0   1.0047839E14      2.26348357485E21   4.43910400396E-8     -0.2404        
  64.1522517595   28.4759444444   0.11923       2.39296773755    1.48229805183   17.0   1.18204622E14     2.2493896733E21    5.25496419776E-8     0.16889        
  64.1522517595   28.4863611111   0.12004       2.45090727209    1.47101721965   13.0   1.19007656E14     2.30385283576E21   5.16559279103E-8     0.1751636      
  64.1522517595   28.4967777778   -0.24432      2.62679827808    1.45262914358   10.0   -2.42218848E14    2.4691903814E21    -9.80964650701E-8    0.0994808      
  64.1522517595   28.5071944444   -0.15362      2.90087477506    1.43887988272   11.0   -1.52298868E14    2.72682228856E21   -5.58521428547E-8    0.47751726     
  64.1522517595   28.5176111111   0.34027       3.20752615124    1.45843379342   13.0   3.37343678E14     3.01507458217E21   1.11885682694E-7     0.2091968      
  64.1522517595   28.5280277778   0.22805       3.3545255921     1.47695841211   13.0   2.2608877E14      3.15325405657E21   7.17001440239E-8     0.01053        
  64.1640083558   27.7051111111   -0.0415252    1.24017264762    1.54449589603   20.0   -4.116808328E13   1.16576228876E21   -3.5314303505E-8     -0.28462394    
  64.1640083558   27.7155277778   0.0260725     1.15330135824    1.52902673484   21.0   2.58482765E13     1.08410327674E21   2.38430019118E-8     -0.2153443     
  64.1640083558   27.7259444444   -0.11506      1.05109352065    1.519848868     18.0   -1.14070484E14    9.88027909413E20   -1.15452694112E-7    -0.1203009     
  64.1640083558   27.7363611111   -0.13987      0.955149357388   1.50701456102   20.0   -1.38667118E14    8.97840395945E20   -1.54445176032E-7    -0.1919327     
  64.1640083558   27.7467777778   0.00741601    0.931040523732   1.48970902864   19.0   7.352232314E12    8.75178092308E20   8.4008413586E-9      0.0035809      
  64.1640083558   27.7571944444   -0.15442      1.0146819958     1.47759891506   17.0   -1.53091988E14    9.53801076049E20   -1.60507250248E-7    -0.1647011     
  64.1640083558   27.7676111111   -0.15986      1.17733532993    1.49208116223   18.0   -1.58485204E14    1.10669521013E21   -1.43205828081E-7    -0.4528545     
  64.1640083558   27.7780277778   -0.0121254    1.34720023279    1.50159634471   17.0   -1.202112156E13   1.26636821883E21   -9.49259574055E-9    -0.0250712     
  64.1640083558   27.7884444444   0.13775       1.44306075497    1.50972101334   17.0   1.3656535E14      1.35647710967E21   1.00676486928E-7     0.0763387      
  64.1640083558   27.7988611111   0.19047       1.48138857518    1.51278618943   15.0   1.88831958E14     1.39250526067E21   1.35605920734E-7     -0.4639555     
  64.1640083558   27.8092777778   0.20379       1.50520463831    1.49935291746   16.0   2.02037406E14     1.41489236001E21   1.42793481476E-7     -0.0953838     
  64.1640083558   27.8196944444   0.16749       1.61999265891    1.48802441815   14.0   1.66049586E14     1.52279309937E21   1.09042775456E-7     0.3079623      
  64.1640083558   27.8301111111   0.10472       1.87194383474    1.48197124693   14.0   1.03819408E14     1.75962720466E21   5.90007972855E-8     -0.07140965    
  64.1640083558   27.8405277778   0.1065        2.1846760572     1.48618944193   16.0   1.055841E14       2.05359549377E21   5.14142635783E-8     0.0721373      
  64.1640083558   27.8509444444   -0.0113829    2.52481335359    1.49484036055   11.0   -1.128500706E13   2.37332455238E21   -4.75493629756E-9    0.2641844      
  64.1640083558   27.8613611111   0.099615      2.70283205205    1.51223612992   12.0   9.8758311E13      2.54066212893E21   3.88710918605E-8     0.07584263     
  64.1640083558   27.8717777778   0.00997136    2.71357927219    1.51463213543   12.0   9.885606304E12    2.55076451586E21   3.87554642639E-9     0.1343483      
  64.1640083558   27.8821944444   -0.10233      2.69870821174    1.51034289275   13.0   -1.01449962E14    2.53678571903E21   -3.99915378106E-8    0.1244743      
  64.1640083558   28.1946944444   0.50668       3.11456044896    1.51735886914   18.0   5.02322552E14     2.92768682202E21   1.71576600414E-7     0.5403309      
  64.1640083558   28.2051111111   0.36893       2.94467231919    1.51934178007   18.0   3.65757202E14     2.76799198003E21   1.32138100341E-7     0.20232153     
  64.1640083558   28.2155277778   0.41708       2.90073993418    1.51390355498   16.0   4.13493112E14     2.72669553813E21   1.51646234872E-7     -0.19587845    
  64.1640083558   28.2259444444   1.0816        3.15192278376    1.51653270698   19.0   1.07229824E15     2.96280741674E21   3.61919655642E-7     0.1005052      
  64.1640083558   28.2363611111   0.78432       3.49269759321    1.51598093996   19.0   7.77574848E14     3.28313573761E21   2.36839080118E-7     0.0932427      
  64.1640083558   28.2467777778   0.20693       3.93912921495    1.52221556798   16.0   2.05150402E14     3.70278146205E21   5.54044045273E-8     0.0171292      
  64.1640083558   28.2571944444   0.74143       4.32642403334    1.53012992364   16.0   7.35053702E14     4.06683859134E21   1.80743269124E-7     0.161468       
  64.1640083558   28.2676111111   1.2322        4.64044564719    1.54181214241   13.0   1.22160308E15     4.36201890836E21   2.80054512753E-7     0.0320593      
  64.1640083558   28.2780277778   1.5583        4.8777243419     1.55569864502   14.0   1.54489862E15     4.58506088138E21   3.36941789862E-7     -0.0438666     
  64.1640083558   28.2884444444   1.5216        5.00739271764    1.57447670762   15.0   1.50851424E15     4.70694915458E21   3.20486623173E-7     -0.0438857     
  64.1640083558   28.2988611111   0.86193       5.11357922895    1.60045870124   15.0   8.54517402E14     4.80676447521E21   1.77773928056E-7     0.1440486      
  64.1640083558   28.3092777778   0.5275        5.08459630954    1.61145174161   13.0   5.229635E14       4.77952053097E21   1.09417565342E-7     0.248278       
  64.1640083558   28.3196944444   0.38193       4.56079823816    1.58873659208   14.0   3.78645402E14     4.28715034387E21   8.83209991788E-8     0.2104491      
  64.1640083558   28.3301111111   0.44783       3.94024777784    1.5552757648    15.0   4.43978662E14     3.70383291117E21   1.19870056951E-7     0.1319512      
  64.1640083558   28.3405277778   0.21921       3.21102171346    1.51260794525   15.0   2.17324794E14     3.01836041065E21   7.2000942377E-8      -0.1457618     
  64.1640083558   28.3509444444   0.52063       2.65059580515    1.48466161173   16.0   5.16152582E14     2.49156005684E21   2.07160401606E-7     -0.2328268     
  64.1640083558   28.3613611111   0.18228       2.20852999327    1.46575838483   17.0   1.80712392E14     2.07601819367E21   8.70475955129E-8     0.0058932      
  64.1640083558   28.3717777778   0.11025       2.21428289168    1.46025617057   21.0   1.0930185E14      2.08142591818E21   5.25129667336E-8     0.01250103     
  64.1640083558   28.3821944444   0.28792       2.32375678634    1.45767426364   22.0   2.85443888E14     2.18433137916E21   1.30677923104E-7     0.0618017      
  64.1640083558   28.3926111111   0.34665       2.52091626207    1.46135863519   22.0   3.4366881E14      2.36966128635E21   1.45028663793E-7     -0.0528231     
  64.1640083558   28.4030277778   0.17541       2.75729981834    1.46493291949   22.0   1.73901474E14     2.59186182924E21   6.70951946737E-8     0.2505001      
  64.1640083558   28.4134444444   -0.0415257    2.88247710926    1.46443374746   22.0   -4.116857898E13   2.70952848271E21   -1.51940011861E-8    0.5130763      
  64.1640083558   28.4238611111   0.0225089     2.95224806151    1.4678616637    22.0   2.231532346E13    2.77511317782E21   8.04123004365E-9     -0.078497569   
  64.1640083558   28.4342777778   0.0018047     2.8829854486     1.47067225561   21.0   1.78917958E12     2.71000632169E21   6.60212327064E-10    -0.5657912     
  64.1640083558   28.4446944444   -0.0792585    2.69596604843    1.47587008395   20.0   -7.85768769E13    2.53420808553E21   -3.10064818074E-8    -0.1885975     
  64.1640083558   28.4551111111   0.0414759     2.539051104      1.48492949631   15.0   4.111920726E13    2.38670803776E21   1.72284194839E-8     -0.0454037     
  64.1640083558   28.4655277778   0.2388        2.50196217056    1.48714451592   13.0   2.3674632E14      2.35184444033E21   1.00664106835E-7     -0.19565       
  64.1640083558   28.4759444444   0.2027        2.53720275515    1.47759690015   15.0   2.0095678E14      2.38497058984E21   8.42596469976E-8     0.1044714      
  64.1640083558   28.4863611111   0.23357       2.59305252928    1.46115460723   13.0   2.31561298E14     2.43746937752E21   9.5000700372E-8      0.1105343      
  64.1640083558   28.4967777778   -0.0557502    2.70639965359    1.44339679771   12.0   -5.527074828E13   2.54401567437E21   -2.17257892067E-8    0.1184909      
  64.1640083558   28.5071944444   -0.0288402    2.80026626679    1.42755089701   13.0   -2.859217428E13   2.63225029078E21   -1.08622551511E-8    0.4757365      
  64.1640083558   28.5176111111   0.35104       2.98303251914    1.44332545903   16.0   3.48021056E14     2.80405056799E21   1.24113687525E-7     0.2276096      
  64.1640083558   28.5280277778   0.23127       3.08312045491    1.4573784112    15.0   2.29281078E14     2.89813322761E21   7.91133671204E-8     0.02824        
  64.1640083558   28.5384444444   -0.10426      3.03273467503    1.48191203596   15.0   -1.03363364E14    2.85077059453E21   -3.62580434211E-8    0.0529506      
  64.1757649521   27.6946944444   0.00397904    1.40145986589    1.54302936304   23.0   3.944820256E12    1.31737227393E21   2.99446127268E-9     -0.02952626    
  64.1757649521   27.7051111111   0.0398408     1.2827355991     1.539705418     24.0   3.949816912E13    1.20577146316E21   3.27575915726E-8     -0.049578      
